frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,lost_count
62,000062.png,left,ok,tracking,1941,0.416667,1941,1941,21,164.899342,-3.70599548846,995.708858866,0
62,000062.png,right,ok,tracking,2130,0.577778,2130,2130,20,19.675568,2.79664879479,-193.534723269,0
62,000062.png,center,ok,from_left_right,,,,,20,,,,
63,000063.png,left,ok,tracking,1938,0.416667,1938,1938,21,164.895883,-3.70510614822,995.508174042,0
63,000063.png,right,ok,tracking,2122,0.577778,2122,2122,20,19.688391,2.79467582439,-193.067436802,0
63,000063.png,center,ok,from_left_right,,,,,20,,,,
64,000064.png,left,ok,tracking,1940,0.416667,1940,1940,21,164.894824,-3.70483404549,995.41644049,0
64,000064.png,right,ok,tracking,2131,0.577778,2131,2131,20,19.681812,2.79568772018,-193.312280908,0
64,000064.png,center,ok,from_left_right,,,,,20,,,,
65,000065.png,left,ok,tracking,1939,0.416667,1939,1939,21,164.885492,-3.70243689614,994.850946578,0
65,000065.png,right,ok,tracking,2137,0.577778,2137,2137,20,19.678513,2.79619544895,-193.437031362,0
65,000065.png,center,ok,from_left_right,,,,,20,,,,
66,000066.png,left,ok,tracking,1947,0.411111,1947,1947,21,164.911928,-3.70923490139,996.406566795,0
66,000066.png,right,ok,tracking,2140,0.577778,2140,2140,20,19.679580,2.79603113624,-193.430913936,0
66,000066.png,center,ok,from_left_right,,,,,20,,,,
67,000067.png,left,ok,tracking,1935,0.416667,1935,1935,21,164.900836,-3.70637987484,995.714195138,0
67,000067.png,right,ok,tracking,2126,0.577778,2126,2126,20,19.684383,2.79529217749,-193.198394478,0
67,000067.png,center,ok,from_left_right,,,,,20,,,,
68,000068.png,left,ok,tracking,1937,0.416667,1937,1937,21,164.902026,-3.70668597696,995.869490114,0
68,000068.png,right,ok,tracking,2123,0.577778,2123,2123,20,19.688045,2.79472892179,-193.085162034,0
68,000068.png,center,ok,from_left_right,,,,,20,,,,
69,000069.png,left,ok,tracking,1935,0.416667,1935,1935,21,164.897515,-3.70552588364,995.627564414,0
69,000069.png,right,ok,tracking,2119,0.577778,2119,2119,20,19.683035,2.79549954496,-193.235797539,0
69,000069.png,center,ok,from_left_right,,,,,20,,,,
70,000070.png,left,ok,tracking,1938,0.416667,1938,1938,21,164.901635,-3.70658520273,995.782585414,0
70,000070.png,right,ok,tracking,2129,0.577778,2129,2129,20,19.683569,2.79541737563,-193.30490998,0
70,000070.png,center,ok,from_left_right,,,,,20,,,,
71,000071.png,left,ok,tracking,1924,0.411111,1924,1924,21,164.909905,-3.70871369748,996.253260603,0
71,000071.png,right,ok,tracking,2119,0.577778,2119,2119,20,19.677877,2.79629335984,-193.412291696,0
71,000071.png,center,ok,from_left_right,,,,,20,,,,
72,000072.png,left,ok,tracking,1940,0.411111,1940,1940,21,164.909166,-3.70852355171,996.263311067,0
72,000072.png,right,ok,tracking,2124,0.577778,2124,2124,20,19.697188,2.79332357651,-192.731968666,0
72,000072.png,center,ok,from_left_right,,,,,20,,,,
73,000073.png,left,ok,tracking,1935,0.416667,1935,1935,21,164.908947,-3.70846705285,996.215236358,0
73,000073.png,right,ok,tracking,2130,0.577778,2130,2130,20,19.691980,2.79412394774,-192.969495279,0
73,000073.png,center,ok,from_left_right,,,,,20,,,,
74,000074.png,left,ok,tracking,1932,0.411111,1932,1932,21,164.909473,-3.70860251079,996.197718503,0
74,000074.png,right,ok,tracking,2117,0.577778,2117,2117,20,19.692593,2.79402980057,-192.892558747,0
74,000074.png,center,ok,from_left_right,,,,,20,,,,
75,000075.png,left,ok,tracking,1952,0.416667,1952,1952,21,164.906347,-3.70779783269,996.344823827,0
75,000075.png,right,ok,tracking,2143,0.577778,2143,2143,21,19.690355,2.79437383287,-193.542410316,0
75,000075.png,center,ok,from_left_right,,,,,21,,,,
76,000076.png,left,ok,tracking,1939,0.416667,1939,1939,21,164.916148,-3.71032205857,996.688913018,0
76,000076.png,right,ok,tracking,2123,0.577778,2123,2123,20,19.710089,2.79134277052,-193.240209338,0
76,000076.png,center,ok,from_left_right,,,,,20,,,,
77,000077.png,left,ok,tracking,1943,0.416667,1943,1943,21,164.901790,-3.70662530637,996.891045524,0
77,000077.png,right,ok,tracking,2143,0.577778,2143,2143,20,19.696007,2.79350513539,-194.488534614,0
77,000077.png,center,ok,from_left_right,,,,,20,,,,
78,000078.png,left,ok,tracking,1961,0.416667,1961,1961,21,164.869716,-3.69839131488,995.735656182,0
78,000078.png,right,ok,tracking,2144,0.577778,2144,2144,20,19.707665,2.79171478607,-193.60374184,0
78,000078.png,center,ok,from_left_right,,,,,20,,,,
79,000079.png,left,ok,tracking,1944,0.416667,1944,1944,21,164.866085,-3.69746142681,995.012047978,0
79,000079.png,right,ok,tracking,2140,0.583333,2140,2140,20,19.734981,2.78752801888,-193.159205387,0
79,000079.png,center,ok,from_left_right,,,,,20,,,,
80,000080.png,left,ok,tracking,1955,0.416667,1955,1955,21,164.871536,-3.69885757897,995.734027556,0
