frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,vehicle_x_min,vehicle_x_max,vehicle_y_min,vehicle_y_max,lost_count
42,000042.png,right,ok,tracking,2478,0.658960,2478,2478,25,20.527422,2.67072408747,-160.576243591,0.351496,0.453922,-1.170087,-0.596869,0
42,000042.png,center,not_published,from_left_right,,,0,,,,
43,000043.png,left,ok,init,4675,0.497110,4675,4675,25,153.889359,-2.04029478698,584.221920984,0.205099,0.338640,-0.557700,-0.371490,0
43,000043.png,right,ok,tracking,2464,0.658960,2464,2464,25,20.502220,2.67430553653,-161.456645086,0.351496,0.453922,-1.170087,-0.596869,0
43,000043.png,center,ok,from_left_right,,,25,,,,
44,000044.png,left,ok,tracking,1238,0.127168,1238,1238,25,166.941817,-4.31149622047,1021.34363189,0.264030,0.317378,-0.511274,-0.425057,0
44,000044.png,right,ok,tracking,2462,0.664740,2462,2462,25,20.462224,2.68000671805,-163.081334676,0.351496,0.453922,-1.170087,-0.596869,0
44,000044.png,center,ok,from_left_right,,,25,,,,
45,000045.png,left,rejected_side_geometry,tracking,1536,0.150289,0,0,0,170.661554,-6.08104727124,1364.74765982,,,,,6
45,000045.png,right,ok,tracking,2475,0.664740,2475,2475,25,20.496183,2.67516478565,-161.833392426,0.351496,0.453922,-1.170087,-0.596869,0
45,000045.png,center,not_published,from_left_right,,,0,,,,
46,000046.png,left,ok,init,4604,0.491329,4604,4604,25,153.690431,-2.02249582343,579.948472832,0.205652,0.338640,-0.557700,-0.371490,0
46,000046.png,right,ok,tracking,2467,0.664740,2467,2467,25,20.491399,2.67584590359,-162.00434239,0.351496,0.453922,-1.170087,-0.596869,0
46,000046.png,center,ok,from_left_right,,,25,,,,
47,000047.png,left,rejected_side_geometry,tracking,1180,0.127168,0,0,0,167.554349,-4.53104405003,1064.20964865,,,,,6
47,000047.png,right,ok,tracking,2476,0.664740,2476,2476,25,20.521141,2.67161599628,-160.934768479,0.351496,0.453922,-1.170087,-0.596869,0
47,000047.png,center,not_published,from_left_right,,,0,,,,
48,000048.png,left,ok,init,4577,0.491329,4577,4577,25,153.733547,-2.02633226586,580.757671581,0.205652,0.338640,-0.557700,-0.371490,0
48,000048.png,right,ok,tracking,2474,0.664740,2474,2474,25,20.498653,2.67481325097,-161.707249431,0.351496,0.453922,-1.170087,-0.596869,0
48,000048.png,center,ok,from_left_right,,,25,,,,
49,000049.png,left,ok,tracking,1260,0.127168,1260,1260,25,167.431102,-4.48517794782,1054.4950126,0.263789,0.317021,-0.510509,-0.424509,0
49,000049.png,right,ok,tracking,2476,0.664740,2476,2476,25,20.524875,2.6710857174,-160.731527077,0.351496,0.453922,-1.170087,-0.596869,0
49,000049.png,center,ok,from_left_right,,,25,,,,
